id	lat	lng	city	address_	province	suburb	street	postcode
1	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
2	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
3	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
4	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
5	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
6	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
7	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
8	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
9	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
10	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
11	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
12	24.8199	46.72703	Riyadh Region	Qurtubah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Qurtubah	Mohammed Bin Abdulaziz Al Madi	13248
13	24.80628607	46.62590461	Riyadh Region	As Sahafah District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	As Sahafah District	Wadi Bish Street	13524
16	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
19	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
22	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
24	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
27	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
28	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
29	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
30	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
31	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
32	24.71783	46.68134	Riyadh Region	Al Wuroud District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wuroud District	Abdulhameed Al Kateb	12251
